"Product.Name","Date.Issued.Updated","Link"
"Sterile Drug Products by Cantrell Drug Company: Recall - Lack of Sterility Assurance",2016-11-21,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm529791.htm"
"Sterile Drug Products by Medaus Pharmacy: FDA Alert - Lack of Sterility Assurance",2016-04-01,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm493871.htm"
"Sterile Drug Products from Pharmakon Pharmaceuticals: Recall - Lack of Sterility Assurance",2016-04-16,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm496448.htm"
"Syrspend SF and Syrspend SF Grape Suspending Agents by Fagron: FDA Alert - Microbial Contamination with Yeast",2016-02-10,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm485897.htm"
"Testosterone and Other Anabolic Androgenic Steroids (AAS): FDA Statement - Risks Associated With Abuse and Dependence",2016-10-25,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm526151.htm"
"Tri-Coast Pharmacy Sterile Products: Recall - Lack of Sterility Assurance",2016-11-21,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm530199.htm"
"Unexpired Sterile Human and Animal Compounded Products by Abbott's Compounding Pharmacy: Recall - Lack of Sterility Assurance",2016-01-16,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm482102.htm"
"Well Care Compounding Pharmacy Sterile Compounded Products: Recall - Lack Of Sterility Assurance",2016-05-18,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm501624.htm"
"Sterile Products by Wells Pharmacy Network: Recall - Concern for Lack of Sterility Assurance",2016-09-22,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm522103.htm"
"Zecuity (sumatriptan) Migraine Patch: Drug Safety Communication - FDA Evaluating Risk of Burns and Scars",2016-06-02,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm504736.htm"
"0.9 Percent Sodium Chloride Injection, USP (AUTO-C) by Baxter International: Recall - Potential For Leaking Containers, Particulate Matter and Missing Port",2015-07-31,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm456793.htm"
"0.9 Percent Sodium Chloride Injection, USP, 50mL and 100mL by Baxter: Recall - Particulate Matter",2015-07-20,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm455421.htm"
"0.9 Percent Sodium Chloride Injection, USP, 250 mL by Hospira : Recall - Particulate Matter",2015-01-23,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm430941.htm"
"0.9 Percent Sodium Chloride Injection, USP, 250 mL VisIV Container by Hospira: Recall - Particulate Matter",2015-03-06,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm436871.htm"
"Acetaminophen Tablets by Medline Industries: Recall - Mislabeling with Incorrect Strength",2015-10-15,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm467076.htm"
"Adrucil (fluorouracil injection, USP) 5 g/100 mL (50 mg/mL) by Teva Parenteral Medicines: Recall - Particulate Matter",2015-07-27,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm456114.htm"
"Adrucil (fluorouracil Injection, USP) 5 g/100 mL (50 mg/mL): Recall - Particulate Matter",2015-05-05,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm445606.htm"
"Atracurium Besylate Injection by Sagent Pharmaceuticals: Recall -  Potential Impact on Product Sterility",2015-02-24,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm435440.htm"
"Auvi-Q (epinephrine injection, USP): Recall - Potential Inaccurate Dosage Delivery",2015-10-29,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm470010.htm"
"Avycaz (ceftazidime and avibactam): Drug Safety Communication - Dose Confusion and Medication Errors",2015-09-22,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm463595.htm"
"Baclofen Active Pharmaceutical Ingredient from Taizhou Xinyou Pharmaceutical and Chemical: FDA Statement - FDA Warns of Potential Contamination",2015-12-09,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm476514.htm"
"Brintellix (vortioxetine) and Brilinta (ticagrelor): Drug Safety Communication - Name Confusion",2015-07-30,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm456569.htm"
"Bupivacaine HCl Injection by Hospira: Recall - Iron Oxide Particulate In Glass Vials",2015-04-24,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm444384.htm"
"Calcium Chloride Intravenous Infusion 10% w/v 10mL Prefilled Syringe by Mylan: Market Withdrawal - Difficulties in Administration",2015-07-14,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm454836.htm"
"Chantix (varenicline): Drug Safety Communication - FDA Updates Label to Include Potential Alcohol Interaction",2015-03-09,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm437415.htm"
"Clozapine: Drug Safety Communication - FDA Modifies Monitoring for Neutropenia; Approves New Shared REMS Program",2015-11-19,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm462229.htm"
"Codeine Cough-and-Cold Medicines in Children: Drug Safety Communication - FDA Evaluating Potential Risk of Serious Side Effects",2015-07-01,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm453379.htm"
"Colistimethate for Injection USP, 150 mg and Rifampin for Injection USP, 600 mg/vial by Heritage Pharmaceuticals: Recall - Lack of Sterility Assurance",2015-02-25,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm435616.htm"
"Compounded Multivitamins by Glades Drugs: Voluntary Recall - High Amounts of Vitamin D3 (Cholecalciferol)",2015-11-25,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm474599.htm"
"Compounded or Repackaged Drugs Stored in Becton-Dickinson Syringes: FDA Expands Warning",2015-09-08,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm461597.htm"
"Compounded or Repackaged Drugs Stored in Becton-Dickinson (BD) 3 mL and 5 mL Syringes: FDA Alert - Do Not Use Unless There Is No Suitable Alternative",2015-08-18,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm458955.htm"
"Daytrana Patch (methylphenidate transdermal system): Drug Safety Communication - Permanent Skin Color Changes",2015-06-24,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm452595.htm"
"Downing Labs, LLC Sterile Compounded Products: Recall - Lack of Sterility Assurance",2015-10-21,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm468235.htm"
"DPP-4 Inhibitors for Type 2 Diabetes: Drug Safety Communication - May Cause Severe Joint Pain",2015-08-28,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm460238.htm"
"Drug Products Intended to be Sterile by Chen Shwezin Inc., dba Park Compounding Pharmacy: FDA Statement - Lack of Sterility Assurance",2015-10-03,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm465582.htm"
"Entacapone: Drug Safety Communication - FDA Review Found No Increased Cardiovascular Risks",2015-10-26,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm469162.htm"
"Feraheme (ferumoxytol): Drug Safety Communication – Warnings Strengthened and Prescribing Instructions Changed",2015-03-31,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm440479.htm"
"FLOW-i Anesthesia Systems by Maquet: Class I Recall - Dislodged Patient Cassette May Stop Patient Ventilation",2015-07-01,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm453524.htm"
"Flurbiprofen-Containing Topical Pain Medications: FDA Alert - Illnesses and Deaths in Pets Exposed to Prescription Topical Pain Medication",2015-04-17,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm443386.htm"
"Gadolinium-based Contrast Agents for Magnetic Resonance Imaging (MRI): Drug Safety Communication - FDA Evaluating the Risk of Brain Deposits With Repeated Use",2015-07-27,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm456012.htm"
"Gilenya (fingolimod): Drug Safety Communication - FDA Warns About Cases of Rare Brain Infection",2015-08-04,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm457183.htm"
"Hepatitis C Treatments Containing Sofosbuvir in Combination With Another Direct Acting Antiviral Drug: Drug Safety Communication - Serious Slowing of  Heart Rate When Used With Antiarrhythmic Drug Amiodarone",2015-03-24,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm439662.htm"
"Hydrochlorothiazide Tablets by Unichem Pharmaceuticals (USA), Inc: Recall - Potential Presence of Foreign Tablets Contamination",2015-07-31,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm456881.htm"
"Injectable Products by Mylan: Recall - Presence of Particulate Matter",2015-06-08,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm444517.htm"
"Intravenous (IV) Solutions (Select Lots) by Baxter: Recall - Potential Presence of Particulate Matter",2015-04-10,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm442091.htm"
"Invokana and Invokamet (canagliflozin): Drug Safety Communication - New Information on Bone Fracture Risk and Decreased Bone Mineral Density",2015-09-10,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm461876.htm"
"Iodine-containing Contrast Agents for Medical Imaging: Drug Safety Communication - Rare Cases of Underactive Thyroid in Infants",2015-11-17,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm472995.htm"
"Kayexalate (sodium polystyrene sulfonate): Drug Safety Communication - FDA Requires Drug Interaction Studies",2015-10-22,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm468720.htm"
"Ketorolac Tromethamine Injection by Hospira: Recall - Particulate in Glass Vials",2015-02-11,"http://wayback.archive-it.org/7993/20170111132847/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm433962.htm"
