drug_code,drug_identification_number,brand_name,number_of_ais,ingredient,strength,strength_unit,current_status_flag,status,history_date,company_name,country,Indication,ATC
94091,2454343,PRAXBIND,1,IDARUCIZUMAB,50,MG,N,APPROVED,2016-04-29,BOEHRINGER INGELHEIM (CANADA) LTD LTEE,CANADA,Reveral of anticoagulant ,VARIOUS(V)
94091,2454343,PRAXBIND,1,IDARUCIZUMAB,50,MG,Y,MARKETED,2016-05-24,BOEHRINGER INGELHEIM (CANADA) LTD LTEE,CANADA,Reveral of anticoagulant ,VARIOUS(V)
94728,2459973,LANCORA,1,IVABRADINE ,5,MG,N,APPROVED,2016-12-23,SERVIER CANADA INC,CANADA,Heart failure|Chest pain,CARDIOVASCULAR SYSTEM(C)
94382,2456796,NINLARO,1,IXAZOMIB ,2.3,MG,N,APPROVED,2016-08-04,TAKEDA CANADA INC,CANADA,Multiple myeloma,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94382,2456796,NINLARO,1,IXAZOMIB ,2.3,MG,Y,MARKETED,2016-09-21,TAKEDA CANADA INC,CANADA,Multiple myeloma,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94193,2455102,TALTZ,1,IXEKIZUMAB,80,MG,N,APPROVED,2016-05-25,ELI LILLY CANADA INC,CANADA,Psoriasis,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94193,2455102,TALTZ,1,IXEKIZUMAB,80,MG,Y,MARKETED,2016-08-11,ELI LILLY CANADA INC,CANADA,Psoriasis,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
93762,2451379,ORKAMBI,2,LUMACAFTOR,200,MG,N,APPROVED,2016-01-26,VERTEX PHARMACEUTICALS (CANADA) INCORPORATED,CANADA,Cystic fibrosis,RESPIRATORY SYSTEM(R)
93762,2451379,ORKAMBI,2,LUMACAFTOR,200,MG,Y,MARKETED,2016-01-27,VERTEX PHARMACEUTICALS (CANADA) INCORPORATED,CANADA,Cystic fibrosis,RESPIRATORY SYSTEM(R)
94475,2457717,MDK-NITISINONE,1,NITISINONE,2,MG,N,APPROVED,2016-09-20,MENDELIKABS INC,CANADA,Tyrosinemia type I,ALIMENTARY TRACT AND METABOLISM(A)
94475,2457717,MDK-NITISINONE,1,NITISINONE,2,MG,Y,MARKETED,2016-10-20,MENDELIKABS INC,CANADA,Tyrosinemia type I,ALIMENTARY TRACT AND METABOLISM(A)
94098,2454408,LYNPARZA,1,OLAPARIB,50,MG,N,APPROVED,2016-04-29,ASTRAZENECA CANADA INC,CANADA,Ovarian cancer,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94098,2454408,LYNPARZA,1,OLAPARIB,50,MG,Y,MARKETED,2016-05-16,ASTRAZENECA CANADA INC,CANADA,Ovarian cancer,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94310,2456214,TAGRISSO,1,OSIMERTINIB ,40,MG,N,APPROVED,2016-07-05,ASTRAZENECA CANADA INC,CANADA,Lung cancer,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94310,2456214,TAGRISSO,1,OSIMERTINIB ,40,MG,Y,MARKETED,2016-07-19,ASTRAZENECA CANADA INC,CANADA,Lung cancer,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
93969,2453150,IBRANCE,1,PALBOCICLIB,75,MG,N,APPROVED,2016-03-16,PFIZER CANADA INC,CANADA,Metastatic breast cancer,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
93970,2453169,IBRANCE,1,PALBOCICLIB,100,MG,Y,MARKETED,2016-04-19,PFIZER CANADA INC,CANADA,Metastatic breast cancer,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94330,2456419,CINQAIR,1,RESLIZUMAB,10,MG,N,APPROVED,2016-07-20,TEVA CANADA LIMITED,CANADA,Asthma,RESPIRATORY SYSTEM(R)
94330,2456419,CINQAIR,1,RESLIZUMAB,10,MG,Y,MARKETED,2016-12-19,TEVA CANADA LIMITED,CANADA,Asthma,RESPIRATORY SYSTEM(R)
93741,2451158,UPTRAVI,1,SELEXIPAG,200,MCG,N,APPROVED,2016-01-20,ACTELION PHARMACEUTICALS LTD,SWITZERLAND,Pulmonary Arterial Hypertension,BLOOD AND BLOOD FORMING ORGANS(B)
93741,2451158,UPTRAVI,1,SELEXIPAG,200,MCG,Y,MARKETED,2016-04-21,ACTELION PHARMACEUTICALS LTD,SWITZERLAND,Pulmonary Arterial Hypertension,BLOOD AND BLOOD FORMING ORGANS(B)
93817,2451816,BRIDION,1,SUGAMMADEX ,100,MG,N,APPROVED,2016-02-05,MERCK CANADA INC,CANADA,Reversal of neuromuscular blockade,VARIOUS(V)
93817,2451816,BRIDION,1,SUGAMMADEX ,100,MG,Y,MARKETED,2016-02-19,MERCK CANADA INC,CANADA,Reversal of neuromuscular blockade,VARIOUS(V)
94324,2456370,EPCLUSA,2,VELPATASVIR,100,MG,N,APPROVED,2016-07-11,GILEAD SCIENCES CANADA INC,CANADA,Hepatitis C,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94324,2456370,EPCLUSA,2,VELPATASVIR,100,MG,Y,MARKETED,2016-08-02,GILEAD SCIENCES CANADA INC,CANADA,Hepatitis C,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94509,2458039,VENCLEXTA,1,VENETOCLAX,10,MG,N,APPROVED,2016-09-30,ABBVIE CORPORATION,CANADA,Chronic lymphocytic leukemia,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94509,2458039,VENCLEXTA,1,VENETOCLAX,10,MG,Y,MARKETED,2016-10-31,ABBVIE CORPORATION,CANADA,Chronic lymphocytic leukemia,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94159,2454815,ZONTIVITY,1,VORAPAXAR ,2.5,MG,N,APPROVED,2016-05-13,ARALEZ PHARMACEUTICALS TRADING DAC,IRELAND,Reduction of thrombotic cardiovascular events,BLOOD AND BLOOD FORMING ORGANS(B)
95089,2462990,TECENTRIQ,1,ATEZOLIZUMAB,60,MG,N,APPROVED,2017-04-12,HOFFMANN-LA ROCHE LIMITED,CANADA,Urothelia carcinoma,Not classified
95089,2462990,TECENTRIQ,1,ATEZOLIZUMAB,60,MG,Y,MARKETED,2017-05-02,HOFFMANN-LA ROCHE LIMITED,CANADA,Urothelia carcinoma,Not classified
94950,2461749,REXULTI,1,BREXPIPRAZOLE,0.25,MG,N,APPROVED,2017-02-16,OTSUKA PHARMACEUTICAL CO LTD,JAPAN,Depression,NERVOUS SYSTEM(N)
94950,2461749,REXULTI,1,BREXPIPRAZOLE,0.25,MG,Y,MARKETED,2017-04-19,OTSUKA PHARMACEUTICAL CO LTD,JAPAN,Depression,NERVOUS SYSTEM(N)
95343,2465221,BELBUCA,1,BUPRENORPHINE ,75,MCG,Y,APPROVED,2017-06-21,PALADIN LABS INC,CANADA,Opioid dependency,NERVOUS SYSTEM(N)
95174,2463644,ACARIZAX,2,DERMATOPHAGOIDES FARINAE,6,UNIT,Y,APPROVED,2017-05-04,ALK - ABELLO A/S,DENMARK,Allergic rhinitis,Not classified
95174,2463644,ACARIZAX,2,DERMATOPHAGOIDES PTERONYSSINUS,6,UNIT,Y,APPROVED,2017-05-04,ALK - ABELLO A/S,DENMARK,Allergic rhinitis,Not classified
95117,2463261,CERDELGA,1,ELIGLUSTAT ,84,MG,N,APPROVED,2017-04-21,"SANOFI GENZYME, A DIVISION OF SANOFI-AVENTIS CANADA INC",CANADA,Gaucher disease type I,ALIMENTARY TRACT AND METABOLISM(A)
95117,2463261,CERDELGA,1,ELIGLUSTAT ,84,MG,Y,MARKETED,2017-07-26,"SANOFI GENZYME, A DIVISION OF SANOFI-AVENTIS CANADA INC",CANADA,Gaucher disease type I,ALIMENTARY TRACT AND METABOLISM(A)
94840,2460890,VIBERZI,1,ELUXADOLINE,75,MG,N,APPROVED,2017-01-26,ALLERGAN PHARMA CO.,CANADA,Irritable vowel syndrome,ALIMENTARY TRACT AND METABOLISM(A)
94840,2460890,VIBERZI,1,ELUXADOLINE,75,MG,Y,MARKETED,2017-04-24,ALLERGAN PHARMA CO.,CANADA,Irritable vowel syndrome,ALIMENTARY TRACT AND METABOLISM(A)
94909,2461463,ODEFSEY,3,EMTRICITABINE,200,MG,N,APPROVED,2017-02-10,GILEAD SCIENCES CANADA INC,CANADA,HIV,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94909,2461463,ODEFSEY,3,EMTRICITABINE,200,MG,Y,MARKETED,2017-03-20,GILEAD SCIENCES CANADA INC,CANADA,HIV,ANTIINFECTIVES FOR SYSTEMIC USE(J)
95072,2462850,ERELZI,1,ETANERCEPT,50,MG,Y,APPROVED,2017-04-06,SANDOZ CANADA INCORPORATED,CANADA,Rheumatoid Arthritis,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(J)
95274,2464616,FIBRYNA,1,FIBRINOGEN ,1,G,Y,APPROVED,2017-06-07,OCTAPHARMA PHARMAZEUTIKA PRODUKTIONSGES M B H,AUSTRIA,Acute bleeding,BLOOD AND BLOOD FORMING ORGANS(B)
94809,2460661,GLATECT,1,GLATIRAMER ACETATE,20,MG,Y,APPROVED,2017-01-17,PHARMASCIENCE INC,CANADA,Multiple sclerosis,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(J)
94943,2461692,CUVITRU,1,IMMUNE GLOBULIN ,200,MG,Y,APPROVED,2017-02-16,BAXALTA CANADA CORPORATION,CANADA,Humoral immunodeficiency,Not classified
95243,2464276,ADLYXINE,1,LIXISENATIDE,0.05,MG,Y,APPROVED,2017-05-25,SANOFI-AVENTIS CANADA INC,CANADA,Type II diabetes mellitus,ALIMENTARY TRACT AND METABOLISM(A)
95022,2462478,PORTRAZZA,1,NECITUMUMAB,16,MG,Y,APPROVED,2017-03-16,ELI LILLY CANADA INC,CANADA,Lung cancer,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(J)
95389,2465663,SPINRAZA,1,NUSINERSEN ,2.4,MG,Y,APPROVED,2017-06-29,BIOGEN CANADA INC,CANADA,Spinal muscular atrophy,Not classified
94965,2461900,ONCASPAR,1,PEGASPARGASE,750,UNIT,N,APPROVED,2017-02-24,BAXALTA CANADA CORPORATION,CANADA,Acute lymphoblastic leukemia,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(J)
94965,2461900,ONCASPAR,1,PEGASPARGASE,750,UNIT,Y,MARKETED,2017-06-01,BAXALTA CANADA CORPORATION,CANADA,Acute lymphoblastic leukemia,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(J)
94760,2460319,RAPIVAB,1,PERAMIVIR,10,MG,N,APPROVED,2017-01-05,SEQIRUS UK LIMITED,UNITED KINGDOM,Influenza,Not classified
94909,2461463,ODEFSEY,3,RILPIVIRINE ,25,MG,N,APPROVED,2017-02-10,GILEAD SCIENCES CANADA INC,CANADA,HIV,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94909,2461463,ODEFSEY,3,RILPIVIRINE ,25,MG,Y,MARKETED,2017-03-20,GILEAD SCIENCES CANADA INC,CANADA,HIV,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94796,2460521,KEVZARA,1,SARILUMAB,150,MG,N,APPROVED,2017-01-12,SANOFI-AVENTIS CANADA INC,CANADA,Rheumatoid arthritis,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(J)
94797,2460548,KEVZARA,1,SARILUMAB,200,MG,Y,MARKETED,2017-02-08,SANOFI-AVENTIS CANADA INC,CANADA,Rheumatoid arthritis,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(J)
94909,2461463,ODEFSEY,3,TENOFOVIR ALAFENAMIDE ,25,MG,N,APPROVED,2017-02-10,GILEAD SCIENCES CANADA INC,CANADA,HIV,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94909,2461463,ODEFSEY,3,TENOFOVIR ALAFENAMIDE ,25,MG,Y,MARKETED,2017-03-20,GILEAD SCIENCES CANADA INC,CANADA,HIV,ANTIINFECTIVES FOR SYSTEMIC USE(J)
95050,2462680,TEPADINA,1,THIOTEPA,15,MG,Y,APPROVED,2017-03-29,ADIENNE SA,SWITZERLAND,Breast adenocarcinoma,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(J)
95016,2462400,BRINAVESS,1,VERNAKALANT ,20,MG,Y,APPROVED,2017-03-13,CARDIOME UK LIMITED,UNITED KINGDOM,Acute conversion of atrial fibrillation,CARDIOVASCULAR SYSTEM(C)
