"content","date","Type_of_communication","link","title"
"RestoraLAX 45 + 10 Value Pack (2017-07-02)   The affected lots may contain deposits such as clumps or lumps.  Costco wholesalers across Canada: BC, MB, AB, SK, ON, NS, NB, NL    RestoraLAX 45 + 10 Value Pack (2017-07-02) DIN 02318164 Powder for oral solution Not Applicable...","
									2017-07-02								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63820r-eng.php","RestoraLAX 45 + 10 Value Pack (2017-07-02)"
"RestoraLAX 45 + 10 Value Pack sold at Costco Canada recalled due to potential choking hazard   Issue Health Canada is advising Canadians that Bayer Inc. is voluntarily recalling RestoraLAX 45 + 10 Value Pack sold at Costco Canada due to a potential choking hazard. The recalled product may contain deposits...","
                                        2017-07-02                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63798a-eng.php","RestoraLAX 45 + 10 Value Pack sold at Costco Canada recalled due to potential choking hazard"
"Yohimbine is a prescription drug and should be used only under the supervision of a health care professional. Yohimbine is derived from yohimbe, a bark extract. The use of yohimbine or yohimbe may result in serious adverse reactions, particularly in people with high blood pressure, or heart, kidney or...","
                                        2017-06-30                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63790a-eng.php","Unauthorized sexual enhancement product """"Rhino 69 Extreme 10K"""" seized from Riverdale Trading Company in Toronto"
"Authorized Canadian naloxone Nasal Spray (NARCAN) coming to market   June 30, 2017 For immediate release OTTAWA – Health Canada is advising health care professionals and Canadians that the Canadian authorized version of NARCAN will transition onto the market by July 5, 2017. NARCAN is a nasal spray...","
									2017-06-30								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63784a-eng.php","Authorized Canadian naloxone Nasal Spray (NARCAN) coming to market"
"pms-PROPOFOL (2017-06-29)   Affected lot may contain glass particles.  Wholesalers and pharmacies across Canada    pms-PROPOFOL DIN 02244379 Injectable emulsion 10 mg/mL...","
									2017-06-29								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63804r-eng.php","pms-PROPOFOL (2017-06-29)"
"Drug Use During Festival Season   OTTAWA - Summer time is here and so is music festival season. While music festivals and other summer parties are a great way to celebrate the season, it is important to consider safety, especially when it comes to drugs and alcohol. If you or someone around you chooses...","
									2017-06-29								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63776a-eng.php","Drug Use During Festival Season"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of serious or unexpected side effects in patients receiving Sandoz Gentamicin Injection USP (10 mg/mL and 40 mg/mL) should be reported to Sandoz Canada Inc. or Health Canada....","
									2017-06-29								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63768a-eng.php","Gentamicin Injection USP (10 mg/mL and 40 mg/mL) – Potential for Adverse Reactions with 12 Lots Contaminated with Histamine"
"Atlas Bleu méthylène solution 2% (2017-06-27)   Affected lots may be contaminated with microorganisms.  Wholesalers, retailers and pharmacies across Canada    Atlas Bleu méthylène solution 2% DIN 00050474 Liquid 2% methylene blue...","
									2017-06-27								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63824r-eng.php","Atlas Bleu méthylène solution 2% (2017-06-27)"
"Atlas Bleu méthylène solution 1% (2017-06-27)   Affected lots may be contaminated with microorganisms.  Wholesalers, retailers and pharmacies across Canada    Personnelle Bleu méthylène solution 1% (Groupe Jean-Coutu inc.), Option+ Bleu de méthylène solution 1% (Uniprix Inc./Pharmachoice), Atlas...","
									2017-06-27								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63822r-eng.php","Atlas Bleu méthylène solution 1% (2017-06-27)"
"Kratom (Mitragyna speciosa) is an herbal product that may pose serious health risks when swallowed or inhaled. Side effects include drowsiness, nausea, vomiting, seizures, liver toxicity and excessively rapid heartbeat. Kratom has been linked to both narcotic and stimulant-like effects, and has potential...","
                                        2017-06-26                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63746a-eng.php","Unauthorized “Jupiter” and “Kratom Zone” kratom products seized from two Edmonton stores"
"Peridex Oral Rinse (2017-06-23)   Affected lots may be missing the lot code and/or expiry date on the label.  Wholesalers across Canada    Peridex Oral Rinse DIN 02237452 Liquid 0.12 % Chlorhexidine Gluconate...","
									2017-06-23								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63762r-eng.php","Peridex Oral Rinse (2017-06-23)"
"""""Poppers"""" is a slang term for products that contain alkyl nitrites. Despite being labelled for various uses such as leather cleaners, room odourizers or liquid incense, these products are inhaled or ingested by consumers for recreational purposes. Alkyl nitrites, such as amyl nitrite, butyl nitrite and...","
                                        2017-06-23                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63738a-eng.php","Multiple unauthorized """"poppers"""" and sexual enhancement products seized from Scarborough and Etobicoke adult stores may pose serious health risks"
"Information Update - Health Canada provides information on shortage of injectable sodium bicarbonate products in Canada   June 17, 2017 For immediate release OTTAWA – Health Canada is informing Canadians of the current shortage of injectable sodium bicarbonate product in Canada. Sodium bicarbonate...","
									2017-06-17								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63654a-eng.php","Information Update - Health Canada provides information on shortage of injectable sodium bicarbonate products in Canada"
"Yohimbine is a prescription drug and should be used only under the supervision of a health care professional. Yohimbine is derived from yohimbe, a bark extract. The use of yohimbine or yohimbe may result in serious adverse reactions, particularly in people with high blood pressure, or heart, kidney or...","
                                        2017-06-16                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63648a-eng.php","Unauthorized sexual enhancement product """"Super Panther 7K"""" seized from two Boutique Erotika stores in Quebec"
"Sodium Bicarbonate Inj 8.4% (2017-06-14)   Product sterility may be compromised in affected lots due to a media fill failure  Wholesalers, pharmacies and hospitals across Canada    Sodium Bicarbonate Inj 8.4% DIN 00261998 Solution 84 mg/mL...","
									2017-06-14								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63650r-eng.php","Sodium Bicarbonate Inj 8.4% (2017-06-14)"
"Prescription drugs should only be used under the supervision of a healthcare professional. Dexamethasone is a steroidal prescription drug used to treat inflammatory conditions such as arthritis and allergic reactions. Side effects include irregular heartbeat, increased blood pressure, stomach ulcer,...","
                                        2017-06-09                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63560a-eng.php","Foreign Product Alert: Lose Weight capsules, Nangen Zengzhangsu, PHQ 1001 Khasiat Penawar Herba Qaseh Serata Herb, Slim-Vie Slimming Capsules, TONIK TUAN HAJI 1921, VENERGY Capsule"
"Cefazolin for Injection (2017-06-03)   Affected lot may contain presence of foreign matter.  Wholesalers, hospitals, pharmacies in the following provinces: ON, BC, NS, QC, AB, NB    Cefazolin for Injection DIN 02237140 Powder for solution Cefazolin Sodium 10 g/vial...","
									2017-06-03								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63494r-eng.php","Cefazolin for Injection (2017-06-03)"
"L-tryptophan is a prescription medication at doses higher than 220 mg per day. At these prescription doses, this medication should be used only under the supervision of a health care professional because of the higher risk of serious side effects and harmful drug interactions. L-tryptophan is prescribed...","
									2017-05-30								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63436a-eng.php","Multiple unauthorized L-tryptophan and lithium orotate products sold on amazon.ca may pose serious health risks"
"""""Poppers"""" is a slang term for products that contain alkyl nitrites. Despite being labelled for various uses such as leather cleaners, room odourizers or liquid incense, these products are inhaled or ingested by consumers for recreational purposes. Alkyl nitrites, such as amyl nitrite, butyl nitrite and...","
                                        2017-05-25                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63364a-eng.php","Unauthorized health products seized from two adult stores in Scarborough may pose serious health risks"
"Kratom (Mitragyna speciosa) is an herbal product that may pose serious health risks when swallowed or inhaled. Side effects include drowsiness, nausea, vomiting, seizures, liver toxicity and excessively rapid heartbeat. Kratom has been linked to both narcotic and stimulant-like effects, and has potential...","
                                        2017-05-19                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63338a-eng.php","Unauthorized """"High By Nature"""" kratom products recalled by Garnoff Botanicals as they may pose serious health risks"
"Recall of Cannabis for Medical Purposes - Peace Naturals Project Inc. Introduction  On May 18, 2017, Peace Naturals Project Inc., a licensed producer of cannabis for medical purposes located in Ontario, began a voluntary Type III recall of 74 lots of dried marijuana and cannabis oil that were produced...","
									2017-05-18								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63360r-eng.php","Recall of Cannabis for Medical Purposes - Peace Naturals Project Inc."
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any cases of serious or unexpected side effects in patients receiving MIFEGYMISO should be reported to Celopharma or Health Canada. Celopharma Inc. info@celopharma.com To correct your...","
									2017-05-17								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63330a-eng.php","MIFEGYMISO (mifepristone and misoprostol tablets) - Canadian Distribution and Administration Program"
"Managing marketed health product-related side effects depends on healthcare professionals and consumers reporting them. Any case of serious blood infection or air embolism or other serious or unexpected side effects in patients receiving 0.9% Sodium Chloride Injection, 1000 mL should be reported to Fresenius...","
                                        2017-05-16                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63324a-eng.php","Sodium Chloride Injection 0.9%, USP - Recall of Three Lots due to the Potential for Leakage of the Parenteral/intravenous Solution Bag"
"LEVOPHED 1.0 mg/mL (2017-05-15)   Affected lot may be packaged with the incorrect stopper.  Hospitals    LEVOPHED 1.0 mg/mL DIN 02241981 Sterile solution for injection 1 mg/mL Norepinephrine Bitratrate...","
									2017-05-15								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63730r-eng.php","LEVOPHED 1.0 mg/mL (2017-05-15)"
"DHEA is a controlled drug that can cause higher than normal levels of female and male hormones in the body and could increase the risk of prostate, breast, ovarian, and other hormone-sensitive cancers. Potential side effects include serious cardiovascular disease, as well as changes in fertility and...","
                                        2017-05-15                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63276a-eng.php","Unauthorized sexual enhancement products seized from Yonge and John Medical Pharmacy in Thornhill, ON"
"Teva-Valsartan (2017-05-11)   Affected lot may contain tablets that do not meet its specification for physical description.  Pharmacies and hospitals in BC, AB, MB, ON, QC, NB, NL    Teva-Valsartan DIN 02356678 Tablet 160 mg Valsartan...","
									2017-05-11								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63728r-eng.php","Teva-Valsartan (2017-05-11)"
"0.9% Sodium Chloride Injection, 1000 mL (2017-05-10)   The recall is conducted due to the potential for leakage of the interior parenteral/intravenous solution bag.  Dialysis Unit Nephrologists, Nurses and Technicians; Home Hemodialysis Program Co-ordinators and Home patients    0.9% Sodium Chloride...","
									2017-05-10								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63340r-eng.php","0.9% Sodium Chloride Injection, 1000 mL (2017-05-10)"
"pms-Escitalopram (2017-05-09) Affected Products  A. pms-Escitalopram 10 mg B. pms-Escitalopram 20  Out of specification for degradation product during stability tests.  Retailers across Canada   , A. pms-Escitalopram 10 mg, B. pms-Escitalopram 20 mg DIN 02303949,DIN 02303965 Tablet, Tablet 10 mg, 20...","
									2017-05-09								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63754r-eng.php","pms-Escitalopram (2017-05-09)"
"Yohimbine is a prescription drug and should be used only under the supervision of a health care professional. Yohimbine is derived from yohimbe, a bark extract. The use of yohimbine or yohimbe may result in serious adverse reactions, particularly in people with high blood pressure, or heart, kidney or...","
                                        2017-05-09                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63220a-eng.php","Unauthorized sexual enhancement products sold at Rixxx Adult Store in Ottawa may pose serious health risks"
"Equate Daily Radiance Moisturizing Lotion (Walmart brand) (2017-05-04)   Out of specification for potency of the medicinal ingredient (avobenzone) in affected lot.  Wholesalers    Equate Daily Radiance Moisturizing Lotion (Walmart brand) DIN 02428415 Topical Lotion Octinoxate 7.5%, Octisalate 2.0%, Avobenzone...","
									2017-05-04								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63726r-eng.php","Equate Daily Radiance Moisturizing Lotion (Walmart brand) (2017-05-04)"
"Equate Daily Radiance Moisturizing Lotion(Walmart brand) (2017-05-04)   Out of specification for potency of the medicinal ingredient (avobenzone) in affected lot.  Wholesalers    Equate Daily Radiance Moisturizing Lotion(Walmart brand) DIN 02428415 Topical Lotion Octinoxate 7.5%, Octisalate 2.0%, Avobenzone...","
									2017-05-04								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63634r-eng.php","Equate Daily Radiance Moisturizing Lotion(Walmart brand) (2017-05-04)"
"Apo-Telmisartan/HCTZ (2017-05-02)   Out of specification result for dissolution during shelf life testing of the affected lots  Wholesalers and Retailers in AB, BC, MB, NB, NF, ON, QC, and SK    Apo-Telmisartan/HCTZ DIN 02420023 Tablet  80 mg Telmisartan  12.5 mg Hydrochlorothiazide...","
									2017-05-02								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63722r-eng.php","Apo-Telmisartan/HCTZ (2017-05-02)"
"Fluconazole in Sodium Chloride injection USP (2017-05-01)   Potential leak at the port seal of the affected lot  Hospitals, Wholesalers    Fluconazole in Sodium Chloride injection USP DIN 02261472 Injection 200 mg/100 mL Fluconazole...","
									2017-05-01								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63724r-eng.php","Fluconazole in Sodium Chloride injection USP (2017-05-01)"
"REPAGLINIDE 0.5, 1, 2 mg (2017-04-21) Affected Products   REPAGLINIDE 0.5 mg  REPAGLINIDE 1 mg  REPAGLINIDE 2 mg  Out of specification for degradation product during stability program  Retailers across Quebec   ,,  REPAGLINIDE 0.5 mg, B. REPAGLINIDE 1 mg, REPAGLINIDE 2 mg DIN 02415968,DIN 02415976,DIN...","
									2017-04-28								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63720r-eng.php","REPAGLINIDE 0.5, 1, 2 mg (2017-04-21)"
"The website sarms.ca has advertised various unauthorized drug products for sale, such as:  Clomid (clomiphene), salbutamol, tadalafil, and tamoxifen are prescription drugs that should be used only under the supervision of a health care professional. Prescription drugs can cause serious side effects and...","
									2017-04-27								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63162a-eng.php","Heath Canada warns consumers about unauthorized drugs sold online"
"""""Poppers"""" is a slang term for products that contain alkyl nitrites. Despite being labelled for use as leather cleaners, room odourizers or liquid incense, these products are inhaled or ingested by consumers for recreational purposes. Products containing alkyl nitrites may pose serious risks, including...","
                                        2017-04-27                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63160a-eng.php","Unauthorized """"poppers"""" and sexual enhancement products seized from adult store in Toronto"
"Sildenafil and tadalafil are prescription drug ingredients. Products containing these ingredients should only be used under the supervision of a health-care practitioner. Sildenafil and tadalafil should not be used by individuals taking any kind of nitrate drug (such as nitroglycerine) as it can cause...","
                                        2017-04-27                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63122a-eng.php","Unauthorized sexual enhancement product """"Rhino Blitz Gold"""" seized from adult store in Hamilton"
"Managing marketed health product-related side effects depends on healthcare professionals and consumers reporting them. Any case of hypothyroidism or other serious or unexpected side effects in patients receiving ICM products should be reported to the appropriate manufacturer (see “Products affected”)...","
									2017-04-24								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63086a-eng.php","Iodinated Contrast Media - Potential Risk of Hypothyroidism"
"Intuniv XR (2017-04-21)   Affected lot may be associated with adverse reaction that may be linked to potential Digoxin contamination.  Healthcare professionals across Canada    Intuniv XR DIN 02409119 Tablet (Extended-Release) 2 mg Guanfacine (Guanfacine hydrochloride)...","
									2017-04-21								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63716r-eng.php","Intuniv XR (2017-04-21)"
"BLACK PWDR (2017-04-19)   The affected lot was tested to contain a combination of synephrine and caffeine that may pose a risk to health.  Retailers across Canada    BLACK PWDR No market authorization Powder Mixture of 617mg containing the following ingredients: Creatine monohydrate beta-alanine Caffeine...","
									2017-04-19								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63222r-eng.php","BLACK PWDR (2017-04-19)"
"PMS-REPAGLINIDE 0.5, 1, 2 mg (2017-04-18) Affected products   pms-REPAGLINIDE 0.5 mg  pms-REPAGLINIDE 1 mg  pms-REPAGLINIDE 2 mg  Out of specification for degradation product during stability program  Retailers across Canada   ,,  pms-REPAGLINIDE 0.5 mg, B. 1 mg Repaglinide, 2 mg Repaglinide DIN 02354926,DIN...","
									2017-04-18								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63718r-eng.php","PMS-REPAGLINIDE 0.5, 1, 2 mg (2017-04-18)"
"Recall of Cannabis for Medical Purposes - Emblem Cannabis Corp. Introduction  On April 7, 2017, Emblem Cannabis Corp., a licensed producer of cannabis for medical purposes located in Ontario, began a voluntary recall of four lots of dried marijuana under a Type III recall. The affected lot numbers can...","
									2017-04-07								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/62980r-eng.php","Recall of Cannabis for Medical Purposes - Emblem Cannabis Corp."
"pms-REPAGLINIDE (2017-04-04) Affected Products  A. pms-REPAGLINIDE 0.5 mg B. pms-REPAGLINIDE 1 mg  Out of specification for degradation product during stability testing in affected lot.  Retailers across Canada   , A. pms-REPAGLINIDE 0.5 mg, B. pms-REPAGLINIDE 1 mg DIN 02354926,DIN 02354934 Tablet, Tablet...","
									2017-04-04								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63042r-eng.php","pms-REPAGLINIDE (2017-04-04)"
"Thyroid Tab (2017-04-03)   Affected lot is labeled with the incorrect DIN on the label.  Wholesalers in Canada    Thyroid Tab DIN 00023957 Tablet Thyroïde 60 mg...","
									2017-04-03								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63040r-eng.php","Thyroid Tab (2017-04-03)"
"SoluPrep QD Swab (2017-04-03)   Affected lot is labelled with an incorrect lot number (16260) found on the secondary packaging.  Wholesalers and hospitals    SoluPrep QD Swab DIN 02119803 Swab 0.5% w/v Chlorhexidine gluconate 70% v/v Ethyl alcohol...","
									2017-04-03								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63032r-eng.php","SoluPrep QD Swab (2017-04-03)"
"Patients and caregivers should check whether they have the affected device.  Contact your pharmacy to arrange return of your EpiPen/EpiPen Jr. device and obtain a replacement as soon as possible.  Pfizer Canada is also advising patients and caregivers to keep the affected EpiPen/EpiPen Jr. auto-injectors...","
                                        2017-04-01                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/62872a-eng.php","Pfizer Canada recalls two lots of EpiPen / EpiPen Jr auto-injectors (0.3 mg and 0.15 mg epinephrine) due to possible device failure"
"Epipen Jr. (2017-03-31) Affected Products  A. Epipen Jr. (.15 mg) B. Epipen (.3 mg)  Malfunction of the affected lots' auto-injector that may impact dispensing of the product  Retailers   , A. Epipen Jr. (.15 mg), B. Epipen Jr. (.3 mg) DIN 00578657,B. DIN 00509558 A. Sterile liquid for injection, B....","
									2017-03-31								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/62924r-eng.php","Epipen Jr. (2017-03-31)"
"Botulinum toxin type A is used to treat severe muscle spasms in the neck, eye and foot, as well as chronic migraines, incontinence, and excessive sweating. It is also used for cosmetic purposes to treat facial wrinkling. Authorized botulinum toxin type A products should only be used under specialist...","
                                        2017-03-31                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/62866a-eng.php","Unauthorized """"Botulax"""" injection and medical sutures seized from SPMU-MTS Studio in Richmond, BC"
"Amlodipine (2017-03-29)   The affected lots exhibit high variability for dosage uniformity.  Wholesalers and pharmacies in Canada    Amlodipine DIN 02326809 Tablet 5 mg...","
									2017-03-29								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/62952r-eng.php","Amlodipine (2017-03-29)"
"Olex (2017-03-29)   The affected lots may be out of specification for impurities.  Wholesalers and pharmacies in Canada    Olex DIN 02365677 Tablet (Delayed-Release) 20 mg...","
									2017-03-29								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/62942r-eng.php","Olex (2017-03-29)"
"Yohimbine is a prescription drug and should be used only under the supervision of a health care professional. The use of drugs containing yohimbine (either as yohimbine hydrochloride or yohimbe bark extract) may result in serious adverse reactions, particularly in people with high blood pressure, or...","
                                        2017-03-29                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/62826a-eng.php","Multiple unauthorized health products seized from Ontario retailers may pose serious health risks"
"PMS-AMLODIPINE (2017-03-28)   The affected lot exhibits high variability for dosage uniformity.  Wholesalers and pharmacies in Canada    PMS-AMLODIPINE DIN 02284065 Tablet 5 mg...","
									2017-03-28								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/62944r-eng.php","PMS-AMLODIPINE (2017-03-28)"
"Personnelle Omeprazole (2017-03-28)   The affected lots may be out of specification for impurities.  Wholesalers and pharmacies in Canada    Personnelle Omeprazole DIN 02432765 Tablet (Delayed-Release) 20 mg...","
									2017-03-28								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/62940r-eng.php","Personnelle Omeprazole (2017-03-28)"
"PMS-PRAVASTATIN (2017-03-28)   Out of specification result for impurity during stability testing.  Wholesalers and pharmacies in Canada    PMS-PRAVASTATIN DIN 02247656 Tablet 20 mg...","
									2017-03-28								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/62938r-eng.php","PMS-PRAVASTATIN (2017-03-28)"
