"control_number","date_decision","decision","drug_name","link_id","manufacturer","medical_ingredient","type_submission"
"171358","2015-04-10","Approved","CARBAGLU","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00012","Orphan Europe Sarl","carglumic acid","Priority New Drug Submission (New Active Substance)"
"182734","2015-10-02","Approved","ENTRESTO","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00016","Novartis Pharmaceuticals Canada Inc","Valsartan and sacubitril","Priority New Drug Submission (New Active Substance)"
"176810","2015-07-16","Approved","Cyramza","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00013","Eli Lilly Canada Inc.","ramucirumab","New Drug Submission (NDS)"
"172616","2015-08-13","Approved","DAKLINZA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00014","Bristol-Myers Squibb Canada","daclatasvir","New Drug Submission"
"172711","2015-04-02","Approved","Duaklir Genuair","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00015","Astrazeneca Canada Inc.","Formoterol fumarate dihydrate, aclidinium bromide","New Drug Submission (NDS)"
"165145","2015-07-15","Approved","EPERZAN","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00017","GlaxoSmithKline Inc.","Albiglutide","New Drug Submission (NDS)"
"180673","2015-09-25","Approved","Evotaz","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00018","Bristol-Myers Squibb Canada","atazanavir sulfate, cobicistat","New Drug Submission"
"180861","2015-12-10","Approved","EYLEA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00019","Bayer Inc","aflibercept","Supplement to a New Drug Submission"
"167319","2015-05-08","Approved","Fetzima","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00020","Actavis Specialty Pharmaceuticals Co.","levomilnacipran","New Drug Submission (New Active Substance)"
"180976","2015-12-01","Approved","FYCOMPA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00021","Eisai Limited","perampanel","Supplement to a New Drug Submission"
"177527","2015-08-11","Approved","Gadovist","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00022","Bayer Inc","gadobutrol","Supplement to a New Drug Submission"
"179746","2015-10-14","Approved","Gadovist","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00023","Bayer Inc.","gadobutrol","Supplement to a New Drug Submission"
"179386","2015-10-08","Approved","GALEXOS","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00024","Janssen Inc","simeprevir","Supplement to a New Drug Submission"
"181320","2015-12-31","Approved","HUMIRA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00025","AbbVie Corporation","adalimumab","Supplement to a New Drug Submission"
"173315","2015-06-01","Approved","INSPIOLTO RESPIMAT","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00027","Boehringer Ingelheim (Canada) Ltd Ltee","tiotropium bromide monohydrate, olodaterol hydrochloride","New Drug Submission"
"178245","2015-09-08","Approved","Intuniv XR","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00028","Shire Canada Inc.","guanfacine hydrochloride","Supplement to a New Drug Submission"
"182186","2015-10-02","Approved","Kivexa","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00029","ViiV Healthcare","lamivudine, abacavir sulfate","Supplement to a New Drug Submission"
"179589","2015-06-12","Approved","Kalydeco","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00030","Vertex Pharmaceuticals (canada) Incorporated","Ivacaftor","Supplement to a New Drug Submission"
"175884","2015-05-19","Approved","KEYTRUDA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00031","Merck Canada Inc.","Pembrolizumab","New Drug Submission - Notice of Compliance with conditions"
"160063","2015-07-29","Approved","Mifegymiso","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00032","Linepharma International Limited","mifepristone, misoprostol","New Drug Submission (New Active Substance)"
"167790","2015-06-02","Approved","Movantik","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00033","Astrazeneca Canada Inc","Naloxegol oxalate","New Drug Submission (New Active Substance)"
"176043","2015-06-25","Approved","Ofev","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00034","Boehringer Ingelheim (Canada) Ltd Ltee","nintedanib","New Drug Submission (New Active Substance)"
"174817","2015-05-08","Approved","Omnitrope","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00035","Sandoz Canada Inc.","Somatropin","Supplement to a New Drug Submission (SNDS)"
"180828","2015-09-25","Approved","OPDIVO","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00036","Bristol-Myers Squibb Canada","nivolumab","Priority Review NDS"
"169671","2015-04-16","Approved","Ozurdex","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00037","Allergan Inc.","dexamethasone","Supplement to a New Drug Submission (SNDS)"
"175468","2015-08-25","Approved","Pergoveris","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00038","Emd Serono A Division Of Emd Inc Canada","follitropin alfa, lutropin alfa","New Drug Submission"
"166974","2015-08-10","Approved","PLEGRIDY","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00039","Biogen Canada Inc.","peginterferon beta-1a","New Drug Submission (New Active Substance)"
"177731","2015-07-27","Approved","Prevnar 13","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00040","Pfizer Canada Inc.","Pneumococcal 13-valent conjugate vaccine (13vPnC)","Supplement to a New Drug Submission"
"168323","2015-09-18","Approved","QNASL","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00041","Teva Canada Limited","beclomethasone dipropionate","New Drug Submission"
"171934","2015-06-29","Approved","Quinsair","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00042","Tripex Pharmaceuticals Llc","Levofloxacin","New Drug Submission"
"178234","2015-09-10","Approved","REPATHA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00043","Amgen Canada Inc","Evolocumab","New Drug Submission (New Active Substance)"
"180223","2015-09-04","Approved","REVESTIVE","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00044","NPS Pharma Holdings Limited","teduglutide","Priority New Drug Submission (New Active Substance)"
"172733","2015-04-22","Approved","Rosiver","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00045","Galderma Canada Inc","Ivermectin","New Drug Submission (New Active Substance)"
"180654","2015-12-10","Approved","STELARA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00046","Janssen Inc.","ustekinumab","Supplement to a New Drug Submission"
"174522","2015-05-06","Approved","SmofKabiven","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00047","Fresenius Kabi Canada A Division Of Calea Ltd.","l-alanine, dextrose, fish oil, glycine, l-arginine, l-histidine, l-isoleucine, l-leucine, l-phenylalanine, l-proline, l-serine, l-threonine, l-tryptophan, l-valine, magnesium sulfate, l-methionine, olive oil, potassium chloride, sodium glycerophosphate, soybean oil, taurine, l-tyrosine, sodium acetate trihydrate, zinc sulfate heptahydrate, medium-chain triglycerides, l-lysine, calcium chloride dihydrate","New Drug Submission"
"174143","2015-04-28","Approved","SODIUM NITRITE INJECTION USP","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00048","Hope Pharmaceuticals Ltd","sodium nitrite","EU NDS"
"175084","2015-05-20","Approved","Spiriva Respimat","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00049","Boehringer Ingelheim (Canada) Ltd Ltee","tiotropium bromide monohydrate","Supplement to a New Drug Submission"
"179340","2015-08-14","Approved","STRENSIQ","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00050","Alexion Pharma International Sarl","asfotase alfa","New Drug Submission filed under the Notice of Compliance with Conditions (NOC/c) policy."
"175142","2015-05-08","Approved","STRIBILD","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00051","Gilead Sciences Canada Inc.","emtricitabine, tenofovir disoproxil fumarate, elvitegravir, cobicistat","Supplement to a New Drug Submission"
"183275","2015-10-20","Approved","Technivie","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00052","AbbVie Corporation","ritonavir, paritaprevir, ombitasvir","New Drug Submission"
"173316","2015-05-28","Approved","TOUJEO SoloSTAR","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00053","Sanofi-aventis Canada Inc.","insulin glargine (rDNA origin)","New Drug Submission (NDS)"
"168671","2015-11-10","Approved","TRULICITY","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00054","Eli Lilly Canada Inc.","dulaglutide","New Drug Submission (New Active Substance)"
"177359","2015-08-04","Approved","Varithena","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00055","Provensis Ltd.","carbon dioxide, oxygen, polidocanol","New Drug Submission (New Active Substance)"
"166626","2015-08-31","Approved","VECTIBIX","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00056","Amgen Canada Inc.","panitumumab","SNDS"
"176820","2015-07-16","Approved","Viibryd","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00058","Forest Laboratories Canada Inc","Vilazodone HCl","New Drug Submission (New Active Substance)"
"176891","2015-10-19","Approved","Xgeva","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00059","Amgen Canada Inc.","denosumab","Supplement to a New Drug Submission"
"177983","2015-04-15","Approved","Xtandi","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00060","Astellas Pharma Canada Inc","Enzalutamide","Priority Supplement to a New Drug Submission"
"177129","2015-07-24","Approved","BELKYRA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00067","Kythera Biopharmaceuticals Inc.","deoxycholic acid","New Drug Submission"
"149696","2015-06-18","Approved","Yasmin Plus","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00061","Bayer Inc","ethinyl estradiol, drospirenone, levomefolate calcium","New Drug Submission"
"178006","2015-09-30","Approved","Zerbaxa","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00062","Merck Canada Inc.","tazobactam sodium, ceftolozane sulfate","New Drug Submission (New Active Substance)"
"178459","2015-09-24","Approved","Zevtera","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00063","Basilea Pharmaceutica International AG","ceftobiprole medocaril","New Drug Submission"
"175649","2015-12-10","Approved","XIGDUO","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00175","AstraZeneca Canada Inc.","metformin hcl, dapagliflozin","New Drug Submission"
"176901","2015-07-21","Approved","Ziagen","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00064","ViiV Healthcare ULC","abacavir sulfate","Supplement to a New Drug Submission"
"171024","2016-04-07","Approved","ADREVIEW","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00065","GE Healthcare Canada Inc.","Iobenguane (123I) Injection","Supplement to a New Drug Submission (SNDS)"
"184231","2016-04-21","Approved","BLEXTEN","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00068","Aralez Pharmaceuticals Trading Dac","bilastine","New Drug Submission (New Active Substance)"
"180385","2016-02-05","Approved","BRIDION","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00069","Merck Canada Inc","Sugammadex","New Drug Submission (New Active Substance)"
"183355","2016-03-09","Approved","BRIVLERA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00070","UCB Canada Inc.","brivaracetam","New Drug Submission (New Active Substance)"
"167695","2015-10-30","Approved","BYDUREON","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00071","Astrazeneca Canada Inc","exenatide extended-release","New Drug Submission"
"182788","2016-02-22","Approved","COTELLIC","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00072","Hoffmann La Roche Limited","cobimetinib fumarate","New Drug Submission (New Active Substance)"
"184144","2016-04-20","Approved","COSENTYX SA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00073","Novartis Pharmaceuticals Canada Inc.","Secukinumab","Supplement to a New Drug Submission"
"183836","2016-03-22","Approved","ENTYVIO","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00076","Takeda Canada Inc.","vedolizumab","Supplement to a New Drug Submission"
"184142","2016-04-20","Approved","COSENTYX PSA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00074","Novartis Pharmaceuticals Canada Inc.","Secukinumab","Supplement to a New Drug Submission"
"183401","2016-03-22","Approved","DEXEDRINE TABLETS, DEXEDRINE SPANSULES","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00075","Paladin Labs Inc.","dextroamphetamine sulfate","New Drug Submission"
"184128","2016-05-02","Approved","ESBRIET","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00077","Hoffmann-La Roche Limited","pirfenidone","Supplement to a New Drug Submission"
"180845","2015-12-09","Approved","FORXIGA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00078","Astrazeneca Canada Inc.","Dapagliflozin","Supplement to a New Drug Submission"
"180758","2015-12-02","Approved","FORXIGA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00079","Astrazeneca Canada Inc.","Dapagliflozin","Supplement to a New Drug Submission"
"156897","2015-12-07","Approved","GRASTOFIL","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00080","Apotex Incorporated","filgrastim","New Drug Submission"
"182854","2016-02-26","Approved","HUMIRA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00081","AbbVie Corporation","adalimumab","Supplemental New Drug Submission"
"182048","2016-03-16","Approved","IBRANCE","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00082","Pfizer Canada Inc.","palbociclib","New Drug Submission (New Active Substance)"
"165121","2015-04-02","Approved","ICLUSIG","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00083","Ariad Pharmaceuticals Inc.","ponatinib hydrochloride","New Drug Submission"
"180793","2016-01-26","Approved","IDELVION","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00084","CSL Behring Canada Inc.","Coagulation Factor IX (Recombinant), Albumin Fusion Protein (rIX-FP)","New Drug Submission"
"183766","2016-03-31","Approved","IMBRUVICA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00085","Janssen Inc.","ibrutinib","Supplement to a New Drug Submission"
"162552","2015-07-23","Approved","JARDIANCE","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00086","Boehringer Ingelheim (Canada) Ltd Ltee.","empagliflozin","New Drug Submission (New Active Substance)"
"187844","2016-05-06","Approved","KEYTRUDA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00087","Merck Canada","Pembrolizumab","Priority Review - Supplemental New Drug Submission"
"185303","2016-06-22","Approved","KEYTRUDA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00088","Merck Canada","Pembrolizumab","Supplement to a New Drug Submission - Confirmatory (SNDS-c)"
"183167","2016-03-11","Approved","MEKINIST","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00092","Novartis Pharmaceuticals Canada Inc.","trametinib","Supplement to a New Drug Submission"
"181693","2016-01-27","Approved","KOVALTRY","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00089","Bayer Inc.","Antihemophilic Factor (Recombinant)","New Drug Submission"
"180877","2015-12-22","Approved","LENVIMA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00090","Eisai Limited","lenvatinib mesylate","New Drug Submission (New Active Substance)"
"127292","2016-03-17","Approved","LUNESTA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00091","Sunovion Pharmaceuticals Canada Inc","eszopiclone","New Drug Submission"
"180663","2015-11-25","Approved","NIASTASE RT","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00093","Novo Nordisk Canada Inc.","Eptacog Alfa (activated)","SNDS"
"183397","2016-04-29","Approved","OPDIVO","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00094","Bristol-Myers Squibb Canada","Nivolumab","New Drug Submission"
"189821","2016-04-25","Approved","OPDIVO","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00095","Bristol-Myers Squibb Canada","nivolumab","Supplemental new drug submission"
"186625","2016-02-26","Approved","OPDIVO","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00096","Bristol Myers Squibb Canada","Nivolumab","Priority Review NDS"
"181715","2016-01-26","Approved","ORKAMBI","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00097","Vertex Pharmaceuticals (Canada) Incorporated","ivacaftor, lumacaftor","Priority New Drug Submission (New Active Substance)"
"164228","2015-06-10","Approved","OTEZLA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00098","Celgene Inc.","apremilast","New Drug Submission"
"183116","2016-04-11","Approved","PRALUENT","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00099","sanofi-aventis Canada Inc.","alirocumab","New Drug Submission"
"182503","2016-04-29","Approved","PRAXBIND","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00100","Boehringer (Canada) Ingelheim Ltd.","idarucizumab","New Drug Submission"
"174219","2016-03-18","Approved","RAVICTI","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00101","Horizon Pharma Ireland Ltd.","glycerol phenylbutyrate","Priority New Drug Submission (New Active Substance)"
"191331","2016-03-22","Approved","S.O.S. NALOXONE HYDROCHLORIDE INJECTION","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00102","Sandoz Canada Incorporated","naloxone HCl","New Drug Submission"
"168934","2015-04-30","Approved","SMOFKABIVEN ELECTROLYTE FREE (5.1% Amino Acids, 17.7% Dextrose, 3.8% Lipids)","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00103","Fresenius Kabi Canada Ltd.","<dd>L-alanine, dextrose, fish oil, glycine, L-arginine, L-histidine, L-isoleucine, L-leucine, L-phenylalanine HCl, L-proline, L-serine, L-threonine, L-tryptophan, L-valine, L-methionine, olive oil, soybean oil, taurine, L-tyrosine, medium-chain triglycerides, L-lysine</dd>","New Drug Submission"
"178506","2015-09-28","Approved","SOMATULINE AUTOGEL","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00104","Ipsen Biopharm Limited","lanreotide acetate","Supplement to a New Drug Submission"
"172617","2016-03-09","Approved","SUNVEPRA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00105","Bristol-Myers Squibb Canada","asunaprevir","New Drug Submission (New Active Substance)"
"184101","2016-03-11","Approved","SYNFLORIX","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00106","GlaxoSmithKline Inc.","Pneumococcal conjugate vaccine (Non-Typeable Haemophilus influenzae (NTHi) protein D, diphtheria or tetanus toxoid conjugates) adsorbed","Supplemental New Drug Submission (SNDS)"
"187173","2016-02-26","Approved","TRUVADA","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00107","Gilead Sciences Canada Inc","emtricitabine, tenofovir disoproxil fumarate","Supplement to a New Drug Submission"
"182114","2016-01-20","Approved","UPTRAVI","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00108","Actelion Pharmaceuticals Ltd.","selexipag","New Drug Submission (New Active Substance)"
"180798","2016-01-08","Approved","VIACORAM","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00109","Servier Canada Inc.","perindopril arginine, amlodipine besylate","New Drug Submission"
"182613","2016-02-18","Approved","VISANNE","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00110","Bayer Inc","dienogest","Supplement to a New Drug Submission"
"167923","2016-04-06","Approved","VITAMIN A (100,000 <abbr title=""international units"">IU</abbr>) and VITAMIN E (20 <abbr title=""international units"">IU</abbr>) ORAL LIQUID PREPARATION","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00111","Nutricorp International","vitamin a, vitamin e","New Drug Submission"
"167924","2016-04-06","Approved","VITAMIN A (200,000 IU) and VITAMIN E (40 IU) ORAL LIQUID PREPARATION","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00112","Nutricorp International","vitamin a, vitamin e","New Drug Submission"
"191680","2016-04-12","Approved","XIGDUO","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00113","Astrazeneca Canada Inc.","metformin hcl, dapagliflozin","Supplement to a New Drug Submission"
"172450","2016-03-11","Approved","XTORO","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00114","Alcon Canada Inc","Finafloxacin","New Drug Submission (New Active Substance)"
"188629","2016-05-17","Approved","AFINITOR","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00115","Novartis Pharmaceuticals Canada Inc.","everolimus","Priority Supplement to a New Drug Submission"
"185877","2016-06-13","Approved","DYSPORT","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00116","Ipsen Biopharm Limited","AbobotulinumtoxinA","Supplemental New Drug Submission"
"185878","2016-06-13","Approved","DYSPORT","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00117","Ipsen Biopharm Limited","AbobotulinumtoxinA","Supplemental New Drug Submission"
"185031","2016-05-10","Approved","EDURANT","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00118","Janssen Inc.","Rilpivirine hydrochloride","Supplement to a New Drug Submission"
"184479","2016-01-15","Approved","KYPROLIS","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00119","Amgen Canada Inc.","carfilzomib","Priority New Drug Submission (New Active Substance)"
"173985","2016-05-17","Approved","METOJECT SUBCUTANEOUS","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00120","Medexus Inc","methotrexate sodium","New Drug Submission"
"193844 & 193718","2016-06-16","Approved","MSM Blood Donor Deferral","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00121","","","Application for an Authorization Amendment"
